,xC,yC,GD,stdGD,mammalTaxa,mammalSeqs,meanSeqs,Dist,PD,nTaxa,GlobalExtreme_prTrendExt,GlobalExtreme_prVarExt,GlobalExtreme_tsTrendExt,GlobalExtreme_tsVarExt,kk10,HFP2009,GDsqrt,TaxonComplete
258,129.99998312943666,60.40517781413389,0.0035087719298245615,0.0,1,4.0,4.0,0.0,1423.5925116600001,45,0.00019524806702975184,0.10634126514196396,0.002489628037437797,0.8276000022888184,-1.9189189189189189,1.5525009168422277,0.05923488777590924,0.022222222222222223
259,133.999982911752,60.40517781413389,0.0008940581098969714,0.0,1,4.0,4.0,0.0,1372.7725623600002,44,0.0002101189456880093,0.1117970123887062,0.002568915020674467,0.8508256077766418,-18.61176801801802,1.021095420570286,0.02990080450250413,0.022727272727272728
263,149.99998204101325,60.40517781413389,0.004445862610724168,0.001974425640862933,7,117.0,16.714285714285715,2.2424702518801256,1296.5966621300001,39,0.00025897906743921345,0.14674310386180878,0.0027674604207277302,0.8804633021354675,0.0,1.235596032242409,0.0666773020654268,0.1794871794871795
264,153.9999818233286,60.40517781413389,0.009042353560901075,0.005533581631076513,2,12.0,6.0,98.59677788309867,1259.2708439199998,37,0.00026467390125617385,0.14853453636169436,0.0027664988301694393,0.916515052318573,0.0,0.8127695308766507,0.09509129066797377,0.05405405405405406
282,-134.00000250337382,54.80947996752619,0.004287008411347637,0.004109088027786785,4,230.0,57.5,66.6764645224656,1426.3042075,43,0.00016545817197766155,0.3292642831802368,0.002467090031132102,1.3027305603027344,-73.53789004457653,1.3326569137380624,0.0654752503725464,0.09302325581395349
283,-130.00000272105854,54.80947996752619,0.004013135354704816,0.003797236468970327,4,39.0,9.75,23.10361103097472,1548.84359228,52,0.0001586354337632656,0.3268007338047028,0.0026137568056583405,1.2649513483047483,-105.27537688442213,0.6666408771334675,0.06334931218809574,0.07692307692307693
284,-126.00000293874324,54.80947996752619,0.0029136222390190643,0.003036968952093436,3,23.0,7.666666666666667,0.0,1714.6645899499995,64,0.00013594681513495743,0.28297504782676697,0.0029088044539093967,1.3291488885879517,-3.8484745762711854,0.36893752389872864,0.05397797920466331,0.046875
287,-114.0000035917973,54.80947996752619,0.007989530718456393,0.0,1,5.0,5.0,0.0,1721.0418863799996,62,0.00012086750939488414,0.13363133370876312,0.003108849748969078,1.3035757541656494,-86.48655824759376,4.209762144719964,0.08938417487707985,0.016129032258064516
291,-98.000004462536,54.80947996752619,0.008582089552238806,0.0,1,5.0,5.0,0.0,1705.0233562399997,51,0.00010562047100393102,0.09877494722604753,0.002751077292487025,1.1176642179489136,-62.91836734693877,0.4297108911916692,0.09263956796228492,0.019230769230769232
313,-10.000009251599218,54.80947996752619,0.003487766037014014,0.002398701746854363,4,33.0,8.25,114.55700730880733,1122.62307025,22,0.0008900097454898058,0.21886542439460754,0.010707085020840168,1.0094244480133057,-4249.140186915888,9.361741566695683,0.059057311461105426,0.18181818181818182
314,-6.000009469283908,54.80947996752619,0.006621277697426935,0.0032372181405432477,6,185.0,30.833333333333332,156.3588290021056,1496.27350316,39,0.0005077862297184764,0.2005559504032135,0.0094443429261446,1.124852180480957,-4036.3659827928523,12.389697342428693,0.08137123384481112,0.15384615384615385
