,xC,yC,GD,stdGD,mammalTaxa,mammalSeqs,meanSeqs,Dist,PD,nTaxa,GlobalExtreme_prTrendExt,GlobalExtreme_prVarExt,GlobalExtreme_tsTrendExt,GlobalExtreme_tsVarExt,kk10,HFP2009,GDsqrt,TaxonComplete
480,-62.0000064216982,45.43581687559476,0.004816196061557432,0.004992164774341558,12,128.0,10.666666666666666,72.74144330537254,1575.8866651899998,42,0.00025923445355147123,0.2271624207496643,0.005276117473840714,0.8976722359657288,-3956.5403087478558,7.555834190195856,0.06939881887725058,0.2857142857142857
497,5.999989877662016,45.43581687559475,0.002833532132668738,0.005714244021123976,14,137.0,9.785714285714286,53.35959828614409,2260.7850715,87,0.0005707903183065356,0.17283152043819427,0.004024399444460869,0.7532446980476379,-3093.694618272841,16.788146714543778,0.053230932104075895,0.16091954022988506
498,9.999989659977325,45.43581687559475,0.009330342296052412,0.009713654432460897,4,36.0,9.0,124.6659165957299,2373.35027391,93,0.0005528602632693946,0.17669425904750824,0.0036376502830535173,0.7740030288696289,-3349.383705052344,19.861548419147876,0.09659369697890444,0.043010752688172046
499,13.999989442292634,45.43581687559476,0.016861219195849545,0.0,1,2.0,2.0,0.0,2379.06297882,94,0.000540714303497225,0.1781005710363388,0.0032309347297996287,0.8271980285644531,-2695.948688711517,14.769652830403984,0.12985075739420832,0.010752688172043012
500,17.999989224607944,45.43581687559476,0.0038910505836575876,0.0,1,2.0,2.0,263.8591335847115,2355.4202646100002,93,0.000537028128746897,0.18281669914722445,0.002836670726537705,0.8899189829826355,-1916.7040160642568,14.512614413875784,0.06237828615518053,0.010752688172043012
501,21.99998900692325,45.43581687559476,0.004559270516717325,0.0,1,2.0,2.0,0.0,2279.4325081800002,88,0.0005694660358130933,0.18401242792606354,0.0027685307431966066,0.9286072850227356,-1879.8082083662196,14.49100522389652,0.06752237049095156,0.011235955056179775
504,33.99998835386917,45.43581687559476,0.0,0.0,1,2.0,2.0,0.0,1873.7164580699996,64,0.0003208030830137432,0.14048174023628235,0.003302328521385789,0.8848861455917358,-286.80168067226884,13.826107933181367,0.0,0.015384615384615385
505,37.99998813618448,45.43581687559476,0.013129386667740599,0.030979428785996386,9,44.0,4.888888888888889,85.40315933649495,2155.59880561,80,0.0003133241552859545,0.13904660940170288,0.0030389956664294004,0.90558260679245,-73.4695585996956,14.73579163517121,0.1145835357620832,0.1125
506,41.999987918499784,45.43581687559476,0.0011859169045145364,0.0013632294596886694,6,13.0,2.1666666666666665,13.215241833137924,2355.6549131699994,95,0.0003516189754009247,0.1470782607793808,0.0026818730402737856,1.0097020864486694,-17.858382642998027,12.908995304745321,0.03443714425608686,0.06315789473684211
515,77.99998595933755,45.43581687559476,0.016235413495687467,0.0,1,3.0,3.0,196.22812307479379,2262.85995023,95,0.00022527360124513507,0.10219645500183104,0.002224374795332551,0.9023616909980774,-316.25091056252535,6.576006834335028,0.12741826201799908,0.010526315789473684
516,81.99998574165286,45.43581687559476,0.00444012570948984,0.00233106974493406,5,28.0,5.6,10.259411996674633,2216.1803999199997,97,0.000186616976861842,0.09540799260139464,0.002381090307608247,0.8738545775413513,-2532.9831121833536,7.814410096990411,0.06663426828209221,0.052083333333333336
517,85.99998552396816,45.43581687559475,0.004651162790697674,0.0,1,2.0,2.0,0.0,2344.2174540900005,99,0.00017135657253675163,0.09081825613975524,0.00233761640265584,0.8337181806564331,-4012.5326991676575,7.0066637757099794,0.06819943394704735,0.01020408163265306
518,89.9999853062835,45.43581687559475,0.0005307855626326964,0.0005307855626326964,2,5.0,2.5,5.5176104832035024,2262.6443710000003,99,0.00017448322614654899,0.08866146951913834,0.0021782235708087683,0.7898197174072266,-2567.0437179992127,4.399124639795724,0.02303878387920457,0.020618556701030927
519,93.9999850885988,45.43581687559475,0.08846503337315725,0.0826323129343649,5,23.0,4.6,66.45849160542856,2170.0785734300002,90,0.0002053335338132456,0.09496690332889557,0.001908370992168784,0.7556333541870117,0.0,2.3112701666288546,0.29743072029156176,0.05555555555555555
523,109.9999842178601,45.43581687559475,0.008583690987124463,0.008583690987124463,2,4.0,2.0,0.0,1896.2081343499997,78,0.0002293401485076174,0.1508459895849228,0.001548175816424191,0.7569140791893005,-318.0310534591195,4.170606667754262,0.09264821092241589,0.02531645569620253
524,113.99998400017537,45.43581687559475,0.0038982551417319844,0.0033613027486545295,7,39.0,5.571428571428571,2.927483594796772,1924.0160381099997,73,0.00023555220104753968,0.1662520468235016,0.001911203027702868,0.7467904686927795,-1111.5945733385763,5.829246692516871,0.06243600837443073,0.0958904109589041
527,125.99998334712134,45.43581687559475,0.004301683980547552,0.0020253407802573596,8,116.0,14.5,7.13615348857561,2050.6910764299996,75,0.00027433023205958307,0.19150429964065552,0.0031662094406783576,0.7430128455162048,-574.7530475815965,14.788659835208973,0.06558722421743088,0.10666666666666667
529,133.999982911752,45.43581687559475,0.005576835205888474,0.003987205666355714,6,39.0,6.5,21.032242324712225,2038.8793622199998,76,0.00022350212384480986,0.21340440213680267,0.0028949391562491647,0.664879560470581,-197.1858813700919,4.578846150870969,0.07467821105174169,0.07894736842105263
530,137.99998269406728,45.43581687559475,0.0060882800608828,0.0,1,2.0,2.0,0.0,1848.8127441699999,59,0.000206447541131638,0.2247098684310913,0.002679304452612996,0.6522559523582458,-1.4285714285714286,0.8676126029660485,0.07802743146408704,0.01694915254237288
531,141.9999824763826,45.43581687559475,0.0017438848613226172,0.0013659560790443461,5,32.0,6.4,73.01177683121202,1523.60206889,48,9.988272358896212e-05,0.2284810543060303,0.002340536331757903,0.7103082537651062,-1118.9931693989074,10.309451212516267,0.04175984747724322,0.10416666666666667
534,153.9999818233286,45.43581687559475,0.0019455252918287938,0.0,1,2.0,2.0,0.0,486.63837842999993,7,9.461095032747836e-05,0.2156391590833664,0.0021858986001461744,0.7538924217224121,0.0,0.912121212121212,0.04410810913912309,0.14285714285714285
555,-122.0000031564279,41.29958788876155,0.015902105457276584,0.016421348630573814,3,14.0,4.666666666666667,39.770617435105834,2755.7378148699995,125,-5.388028148445301e-05,0.3649490177631378,0.0011878134682774546,0.6308109164237976,-431.2463267070009,3.4918880058577586,0.12610355053398212,0.024
